,ElectDist,Reported %,Nicola (Democratic),Jeremy (Democratic),Chris (Republican >:) ),WRITE-IN,AD,ED
148,25018,0.8275302627084455,32.0,20.0,52.0,0.0,25,18
149,25019,0.5953803931476079,7.0,74.0,33.0,2.0,25,19
150,25020,0.7063016200854236,70.0,44.0,28.0,2.0,25,20
151,25021,0.8764865279677957,64.0,12.0,40.0,3.0,25,21
152,25022,0.7857354754368494,81.0,75.0,4.0,5.0,25,22
153,25023,0.6162722859798816,12.0,46.0,44.0,5.0,25,23
154,25024,0.8777358662043655,55.0,43.0,20.0,2.0,25,24
155,25025,0.32413936709048086,54.0,1.0,47.0,2.0,25,25
156,25026,0.20084754655769932,79.0,67.0,46.0,2.0,25,26
157,25027,0.38644943683482824,20.0,2.0,5.0,1.0,25,27
158,25028,0.5963710060625809,78.0,43.0,31.0,5.0,25,28
159,25029,0.9980740761704324,20.0,5.0,7.0,2.0,25,29
160,25030,0.6203390182119652,47.0,41.0,46.0,5.0,25,30
161,25031,0.5874474789861538,3.0,5.0,34.0,5.0,25,31
162,25032,0.9939062872213157,75.0,11.0,33.0,0.0,25,32
163,25033,0.4155132608556604,26.0,0.0,52.0,2.0,25,33
164,25034,0.3013324715794463,88.0,79.0,41.0,3.0,25,34
165,25035,0.32152197478316513,57.0,42.0,56.0,2.0,25,35
166,25036,0.451928876481805,75.0,23.0,18.0,3.0,25,36
167,25037,0.5049533021979202,73.0,17.0,23.0,0.0,25,37
168,25038,0.44744300483783206,74.0,34.0,7.0,3.0,25,38
169,25039,0.8508361835016116,24.0,47.0,39.0,4.0,25,39
170,25040,0.8275319210188409,6.0,34.0,2.0,4.0,25,40
171,25041,0.4644939491383341,54.0,29.0,42.0,1.0,25,41
172,25042,0.5711643242406483,41.0,26.0,39.0,0.0,25,42
173,25043,0.08489702354463513,80.0,65.0,7.0,2.0,25,43
174,25044,0.8599953609279997,33.0,71.0,30.0,2.0,25,44
175,25045,0.943796812060255,82.0,39.0,29.0,2.0,25,45
176,25046,0.31890811047532086,55.0,7.0,51.0,1.0,25,46
177,25047,0.17235410702302134,48.0,42.0,39.0,3.0,25,47
178,26001,0.23387395902735497,12.0,37.0,48.0,4.0,26,1
179,26002,0.8583135399055561,55.0,62.0,33.0,0.0,26,2
180,26003,0.9941460608878804,26.0,12.0,8.0,1.0,26,3
181,26004,0.06372828452910884,27.0,62.0,51.0,3.0,26,4
182,26005,0.32206440034847006,51.0,49.0,54.0,4.0,26,5
183,26006,0.9279849040420384,6.0,44.0,17.0,1.0,26,6
184,26007,0.09967734637541248,45.0,14.0,30.0,4.0,26,7
185,26008,0.049363400401642,60.0,74.0,34.0,1.0,26,8
186,26009,0.045643491382948986,79.0,37.0,1.0,1.0,26,9
187,26010,0.7045912113091493,26.0,22.0,27.0,0.0,26,10
188,26011,0.7786253675953398,14.0,28.0,9.0,3.0,26,11
189,26012,0.729466531757962,97.0,16.0,24.0,1.0,26,12
190,26013,0.17017745176822685,15.0,16.0,42.0,2.0,26,13
191,26014,0.2382456429507085,61.0,24.0,38.0,3.0,26,14
192,26015,0.03560036817040224,42.0,69.0,58.0,2.0,26,15
193,26016,0.038209112621035435,61.0,60.0,50.0,1.0,26,16
194,26017,0.2982814623034339,89.0,23.0,46.0,2.0,26,17
195,26018,0.3785618746897348,55.0,37.0,31.0,1.0,26,18
196,26019,0.7775131149209694,14.0,55.0,55.0,4.0,26,19
197,26020,0.9771700949717105,67.0,57.0,32.0,4.0,26,20
198,26021,0.3761097532569655,49.0,66.0,56.0,2.0,26,21
199,26022,0.21223313808009014,31.0,30.0,58.0,1.0,26,22
200,26023,0.7441009742948561,99.0,13.0,35.0,4.0,26,23
201,26024,0.6171148468701609,54.0,52.0,53.0,2.0,26,24
202,26025,0.6997968105433684,34.0,18.0,5.0,1.0,26,25
203,26026,0.7212907224537968,95.0,0.0,59.0,0.0,26,26
204,26027,0.897783043343068,17.0,3.0,40.0,2.0,26,27
205,26028,0.4598905339814944,63.0,46.0,18.0,0.0,26,28
206,26029,0.6029872096522825,2.0,20.0,13.0,4.0,26,29
207,26030,0.9131533552377465,71.0,67.0,34.0,4.0,26,30
208,26031,0.24947048356024248,89.0,78.0,58.0,0.0,26,31
209,26032,0.7844897473284701,77.0,23.0,39.0,3.0,26,32
210,26033,0.744903122416588,20.0,62.0,19.0,1.0,26,33
211,26034,0.6331905212833606,21.0,41.0,52.0,1.0,26,34
212,26035,0.852253200679636,93.0,43.0,46.0,4.0,26,35
213,26036,0.5274256938885241,23.0,63.0,50.0,4.0,26,36
214,26037,0.9613094863512116,76.0,58.0,26.0,4.0,26,37
215,26038,0.970530671997559,62.0,23.0,30.0,3.0,26,38
216,26039,0.32218598453075,56.0,72.0,51.0,4.0,26,39
217,26040,0.8864389541664113,20.0,35.0,25.0,1.0,26,40
218,26041,0.2321686140407816,3.0,78.0,39.0,2.0,26,41
219,26042,0.865387504977852,52.0,68.0,50.0,3.0,26,42
220,26043,0.45337380860180765,54.0,35.0,12.0,4.0,26,43
221,26044,0.11924187574150391,48.0,49.0,56.0,1.0,26,44
222,26045,0.3186715084827674,12.0,64.0,21.0,2.0,26,45
223,26046,0.22835331774653145,32.0,38.0,56.0,4.0,26,46
224,26047,0.2588841998507819,23.0,35.0,23.0,5.0,26,47
225,26048,0.7013458736260014,6.0,35.0,10.0,4.0,26,48
226,26049,0.41150162949157065,75.0,8.0,23.0,1.0,26,49
227,26050,0.7367664129381102,10.0,78.0,38.0,0.0,26,50
228,26051,0.7303612253613182,65.0,71.0,51.0,2.0,26,51
229,26052,0.35182056199826894,28.0,65.0,10.0,0.0,26,52
230,26053,0.6545248606847336,2.0,3.0,33.0,3.0,26,53
231,26054,0.6887290171397493,8.0,70.0,4.0,2.0,26,54
232,26055,0.6278878987936165,4.0,44.0,50.0,2.0,26,55
233,26056,0.570189558451428,31.0,8.0,14.0,3.0,26,56
234,26057,0.6291837651965322,85.0,27.0,9.0,2.0,26,57
235,26058,0.9009050925134404,33.0,70.0,2.0,2.0,26,58
236,26059,0.32860251620631054,54.0,71.0,17.0,5.0,26,59
237,26060,0.12998987627065473,64.0,13.0,55.0,1.0,26,60
238,26061,0.025334463244172212,63.0,17.0,18.0,2.0,26,61
239,27001,0.08520919791524595,93.0,18.0,24.0,2.0,27,1
240,27002,0.8518295642065403,53.0,50.0,13.0,2.0,27,2
241,27003,0.07291758001843529,4.0,29.0,27.0,2.0,27,3
242,27004,0.14923858879409735,30.0,33.0,46.0,1.0,27,4
243,27005,0.11723967430798465,61.0,34.0,56.0,1.0,27,5
244,27006,0.8085211930209439,50.0,12.0,57.0,4.0,27,6
245,27007,0.982567437628507,71.0,42.0,37.0,1.0,27,7
246,27008,0.39976841844684263,1.0,35.0,13.0,5.0,27,8
247,27009,0.6469705681463533,71.0,12.0,32.0,2.0,27,9
248,27010,0.889547134239454,93.0,10.0,9.0,2.0,27,10
249,27011,0.25304929529928855,69.0,53.0,8.0,4.0,27,11
250,27012,0.6471846778030934,72.0,46.0,35.0,1.0,27,12
251,27013,0.7788544267045804,26.0,66.0,9.0,3.0,27,13
252,27014,0.200547610187767,60.0,38.0,24.0,4.0,27,14
253,27015,0.30027093034144225,57.0,70.0,56.0,4.0,27,15
254,27016,0.7904399141194252,33.0,57.0,11.0,4.0,27,16
255,27017,0.5603350403697409,87.0,75.0,12.0,5.0,27,17
256,27018,0.4792787838958964,72.0,65.0,38.0,1.0,27,18
257,27019,0.23373180960457907,64.0,42.0,33.0,3.0,27,19
258,27020,0.24034401229237978,73.0,26.0,36.0,0.0,27,20
259,27021,0.016999003033847382,58.0,53.0,26.0,3.0,27,21
260,27022,0.057403434305574375,42.0,0.0,55.0,4.0,27,22
261,27023,0.3757114947633925,90.0,8.0,16.0,3.0,27,23
262,27024,0.17069840629951383,56.0,52.0,23.0,1.0,27,24
263,27025,0.16581722672445176,99.0,28.0,37.0,3.0,27,25
264,27026,0.2524663071788904,22.0,45.0,4.0,3.0,27,26
265,27027,0.3905865468376799,13.0,68.0,30.0,3.0,27,27
266,27028,0.1568768248413681,44.0,11.0,10.0,2.0,27,28
267,27029,0.2617138540848134,9.0,1.0,50.0,0.0,27,29
268,27030,0.6752104141109602,47.0,61.0,46.0,1.0,27,30
269,27031,0.7944363656231385,91.0,19.0,2.0,1.0,27,31
270,27032,0.5051570587486625,68.0,31.0,26.0,1.0,27,32
271,27033,0.608700350856295,20.0,13.0,1.0,4.0,27,33
272,27034,0.0034858643692495805,59.0,63.0,43.0,3.0,27,34
273,27035,0.8887527532497359,96.0,61.0,16.0,2.0,27,35
274,27036,0.16556157256312987,12.0,26.0,40.0,1.0,27,36
275,27037,0.18864198186239134,89.0,29.0,53.0,0.0,27,37
276,27038,0.47532424412155216,68.0,26.0,48.0,2.0,27,38
277,27039,0.19027763651331886,41.0,79.0,16.0,1.0,27,39
278,27040,0.5448630797610374,35.0,43.0,51.0,4.0,27,40
279,27041,0.2537004924261078,29.0,73.0,44.0,1.0,27,41
280,27042,0.6824380962229625,41.0,32.0,2.0,2.0,27,42
281,27043,0.5216331300518762,90.0,28.0,5.0,0.0,27,43
282,27044,0.5823777170173166,39.0,34.0,29.0,2.0,27,44
283,27045,0.5893984829047038,86.0,35.0,54.0,0.0,27,45
284,27046,0.5946534121105284,90.0,40.0,50.0,2.0,27,46
285,27047,0.08349706097919019,64.0,5.0,35.0,3.0,27,47
286,27048,0.046602893345172425,21.0,6.0,52.0,3.0,27,48
287,27049,0.5890585629807183,24.0,10.0,13.0,3.0,27,49
288,27050,0.7424581847383058,4.0,68.0,12.0,0.0,27,50
289,27051,0.170314659484886,8.0,9.0,3.0,5.0,27,51
290,28001,0.22227726451808338,86.0,79.0,23.0,5.0,28,1
291,28002,0.10563992804105593,96.0,26.0,52.0,4.0,28,2
292,28003,0.7846866830762891,96.0,16.0,25.0,1.0,28,3
293,28004,0.3832022749241796,45.0,60.0,47.0,4.0,28,4
294,28005,0.5391505984941777,82.0,26.0,11.0,2.0,28,5
295,28006,0.43390516844961613,77.0,1.0,9.0,2.0,28,6
296,28007,0.4976765960453682,71.0,53.0,36.0,2.0,28,7
297,28008,0.29312501235016153,58.0,47.0,8.0,4.0,28,8
298,28009,0.029030187403574104,66.0,38.0,17.0,2.0,28,9
299,28010,0.5901053599250619,32.0,24.0,51.0,5.0,28,10
300,28011,0.6592889249334525,80.0,7.0,6.0,4.0,28,11
301,28012,0.7792008474622202,77.0,30.0,16.0,3.0,28,12
302,28013,0.5811012251388451,16.0,74.0,45.0,1.0,28,13
303,28014,0.0821729326353079,13.0,19.0,24.0,4.0,28,14
304,28015,0.7984223801357798,25.0,3.0,33.0,4.0,28,15
305,28016,0.7367549100239854,12.0,31.0,46.0,4.0,28,16
306,28017,0.12035714933816266,1.0,50.0,45.0,4.0,28,17
307,28018,0.7544742936983941,38.0,76.0,37.0,0.0,28,18
308,28019,0.31614437612590385,32.0,62.0,37.0,2.0,28,19
309,28020,0.9925101123756882,44.0,28.0,10.0,2.0,28,20
310,28021,0.20797813471627224,31.0,74.0,17.0,2.0,28,21
311,28022,0.01951585486264229,40.0,63.0,29.0,2.0,28,22
312,28023,0.9995291439155936,66.0,5.0,3.0,5.0,28,23
313,28024,0.07077914111476946,44.0,10.0,36.0,5.0,28,24
314,28025,0.9682235360397863,96.0,15.0,32.0,5.0,28,25
315,28026,0.8226562115286362,74.0,57.0,42.0,3.0,28,26
316,28027,0.11786078105507991,20.0,51.0,49.0,3.0,28,27
317,28028,0.5073097820342786,63.0,11.0,42.0,1.0,28,28
318,28029,0.9887612900632058,87.0,54.0,49.0,1.0,28,29
319,28030,0.699254294585857,68.0,54.0,20.0,3.0,28,30
320,28031,0.17356198710696258,19.0,70.0,55.0,1.0,28,31
321,28032,0.925637144501175,9.0,65.0,13.0,3.0,28,32
322,28033,0.0031774463368298145,33.0,72.0,31.0,3.0,28,33
323,28034,0.17342657338690337,67.0,3.0,38.0,1.0,28,34
324,28035,0.016151328787511687,93.0,7.0,44.0,4.0,28,35
325,28036,0.915456392533392,12.0,57.0,50.0,2.0,28,36
326,28037,0.045238174567251765,20.0,49.0,58.0,2.0,28,37
327,28038,0.25073798521596324,78.0,41.0,13.0,3.0,28,38
328,28039,0.7522714318056576,50.0,64.0,50.0,4.0,28,39
329,28040,0.7917156159250701,79.0,27.0,35.0,2.0,28,40
330,28041,0.7853830956936769,18.0,25.0,13.0,4.0,28,41
331,28042,0.023976643049321344,47.0,18.0,48.0,5.0,28,42
332,28043,0.49747798596550075,11.0,69.0,37.0,3.0,28,43
333,28044,0.038474249324177534,78.0,73.0,34.0,5.0,28,44
334,28045,0.818283590844237,57.0,66.0,39.0,4.0,28,45
335,28046,0.2366762947445411,65.0,71.0,7.0,4.0,28,46
336,28047,0.9385495233647217,94.0,62.0,35.0,1.0,28,47
337,28048,0.817822216953321,13.0,23.0,12.0,2.0,28,48
338,28049,0.5954468654637608,36.0,78.0,25.0,0.0,28,49
339,28050,0.7525647403139268,9.0,40.0,45.0,2.0,28,50
340,28051,0.7916592584915357,14.0,13.0,46.0,2.0,28,51
341,28052,0.9857981091669328,61.0,28.0,3.0,3.0,28,52
342,28053,0.14714447336212633,96.0,10.0,49.0,1.0,28,53
343,28054,0.7613599919737356,15.0,7.0,34.0,0.0,28,54
344,28055,0.5547138273905347,83.0,4.0,60.0,4.0,28,55
345,28056,0.6882631859639071,9.0,16.0,47.0,1.0,28,56
346,28057,0.4452290847339251,100.0,76.0,26.0,2.0,28,57
347,28058,0.1189956235341626,80.0,33.0,52.0,3.0,28,58
348,28059,0.9442286634573303,55.0,52.0,8.0,1.0,28,59
349,28060,0.6606784560635224,87.0,19.0,35.0,0.0,28,60
350,28061,0.3870958654401777,56.0,35.0,50.0,4.0,28,61
351,28062,0.42798267736811735,81.0,20.0,54.0,2.0,28,62
352,28063,0.370338942524408,27.0,52.0,13.0,1.0,28,63
353,28064,0.15129417040427062,97.0,58.0,24.0,3.0,28,64
354,28065,0.5385174570366658,79.0,22.0,31.0,5.0,28,65
355,28066,0.9497983812912134,59.0,56.0,25.0,4.0,28,66
356,28067,0.3417965936575168,22.0,38.0,14.0,1.0,28,67
357,28068,0.11907790762141213,15.0,69.0,45.0,3.0,28,68
358,28069,0.8445979133680694,96.0,47.0,42.0,4.0,28,69
359,28070,0.9460702812407392,51.0,2.0,21.0,0.0,28,70
360,28071,0.1465916942249721,4.0,13.0,31.0,3.0,28,71
361,28072,0.7863936664349457,66.0,33.0,40.0,4.0,28,72
362,28074,0.43362020264530865,66.0,53.0,26.0,1.0,28,74
363,29001,0.05879690197257603,81.0,50.0,52.0,0.0,29,1
364,29002,0.8527686548737343,57.0,77.0,10.0,2.0,29,2
365,29003,0.8716376139563312,88.0,5.0,4.0,5.0,29,3
366,29004,0.22715532512322645,67.0,20.0,45.0,1.0,29,4
367,29005,0.6488824493290144,99.0,47.0,55.0,2.0,29,5
368,29006,0.037242550927592544,43.0,65.0,45.0,3.0,29,6
369,29007,0.07618829493034229,67.0,23.0,5.0,4.0,29,7
370,29008,0.6559266422366895,79.0,8.0,51.0,2.0,29,8
371,29009,0.1899284083373748,58.0,66.0,2.0,4.0,29,9
372,29010,0.1057159413468094,31.0,31.0,58.0,3.0,29,10
373,29011,0.9427416393140557,82.0,67.0,46.0,3.0,29,11
374,29012,0.5684897933775201,15.0,72.0,10.0,2.0,29,12
375,29013,0.2663237320715859,88.0,28.0,52.0,2.0,29,13
376,29014,0.05531496731833474,73.0,5.0,55.0,2.0,29,14
377,29015,0.5977423471954417,58.0,27.0,45.0,2.0,29,15
378,29016,0.4045173408880316,27.0,34.0,20.0,2.0,29,16
379,29017,0.09048205733316927,3.0,27.0,15.0,1.0,29,17
380,29018,0.46189182891507397,27.0,60.0,1.0,2.0,29,18
381,29019,0.8358621186602125,17.0,34.0,6.0,5.0,29,19
382,29020,0.4692819410743172,3.0,72.0,30.0,2.0,29,20
383,29021,0.7469896016768895,65.0,47.0,35.0,5.0,29,21
384,29022,0.1095510701320046,94.0,46.0,58.0,0.0,29,22
385,29023,0.8317379046746969,23.0,9.0,4.0,2.0,29,23
386,29024,0.9405449657830205,31.0,25.0,49.0,1.0,29,24
387,29025,0.6238352365976039,8.0,19.0,43.0,0.0,29,25
388,29026,0.9124959032947176,62.0,53.0,20.0,2.0,29,26
389,29027,0.045618351772633514,19.0,75.0,11.0,2.0,29,27
390,29028,0.05906927872775525,2.0,19.0,57.0,2.0,29,28
391,29029,0.41344711904849296,75.0,61.0,8.0,3.0,29,29
392,29030,0.5836462342617632,64.0,38.0,13.0,3.0,29,30
393,29031,0.46306191615432846,10.0,37.0,35.0,3.0,29,31
394,29032,0.31391020704156625,40.0,29.0,35.0,1.0,29,32
395,29033,0.28509335497838206,42.0,29.0,53.0,3.0,29,33
396,29034,0.6652279391321249,54.0,67.0,0.0,3.0,29,34
397,29035,0.4313523523510915,25.0,72.0,54.0,4.0,29,35
398,29036,0.5215866862919094,4.0,42.0,26.0,3.0,29,36
399,29037,0.24881965274925122,25.0,3.0,51.0,3.0,29,37
400,29038,0.21992723001277426,34.0,73.0,60.0,2.0,29,38
401,29039,0.0010232849348777995,54.0,72.0,14.0,1.0,29,39
402,29040,0.044217256709390806,5.0,33.0,8.0,5.0,29,40
403,29041,0.09972400901682765,98.0,42.0,20.0,1.0,29,41
404,29042,0.5423303058473341,54.0,46.0,44.0,2.0,29,42
405,29043,0.7570859521237449,74.0,50.0,29.0,2.0,29,43
406,29044,0.7338432955688969,93.0,18.0,56.0,0.0,29,44
407,29045,0.9146825874956778,5.0,64.0,50.0,5.0,29,45
408,29046,0.3728055331714635,80.0,63.0,7.0,5.0,29,46
